# ----------------------------------------
# PROD: Actions on Google (Console Only)
# Ghana Trivia 
# Messages 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Date,Messages
"Jul 12, 2019",3
"Jul 16, 2019",10
"Jul 17, 2019",37
"Jul 18, 2019",21
"Jul 19, 2019",14
"Jul 22, 2019",8
"Jul 23, 2019",9
"Jul 25, 2019",11
"Jul 26, 2019",17
"Jul 27, 2019",31
"Aug 5, 2019",0
