Date,Total
11-Jul-19,3
12-Jul-19,0
13-Jul-19,2
14-Jul-19,0
15-Jul-19,6
16-Jul-19,6
17-Jul-19,5
18-Jul-19,4
19-Jul-19,1
20-Jul-19,2
21-Jul-19,1
22-Jul-19,4
23-Jul-19,2
24-Jul-19,3
25-Jul-19,3
26-Jul-19,3
27-Jul-19,28
28-Jul-19,10
29-Jul-19,16
30-Jul-19,19
31-Jul-19,16
1-Aug-19,23
2-Aug-19,24
3-Aug-19,14
4-Aug-19,22
5-Aug-19,18
6-Aug-19,23
7-Aug-19,17
8-Aug-19,18
9-Aug-19,18
