# ----------------------------------------
# PROD: Actions on Google (Console Only)
# ananse-stories 
# Active users 
# 2019-07-12T04:00:00.000Z - 2019-08-10T04:00:00.000Z 
# ----------------------------------------

Total,Total
"Jul 12, 2019",6
"Jul 13, 2019",26
"Jul 14, 2019",39
"Jul 15, 2019",80
"Jul 16, 2019",42
"Jul 17, 2019",69
"Jul 18, 2019",83
"Jul 19, 2019",91
"Jul 20, 2019",53
"Jul 21, 2019",47
"Jul 22, 2019",102
"Jul 23, 2019",29
"Jul 24, 2019",45
"Jul 25, 2019",14
"Jul 26, 2019",9
"Jul 27, 2019",12
"Jul 28, 2019",5
"Jul 29, 2019",8
"Jul 30, 2019",4
"Jul 31, 2019",7
"Aug 1, 2019",7
"Aug 2, 2019",10
"Aug 3, 2019",5
"Aug 4, 2019",4
"Aug 5, 2019",5
"Aug 6, 2019",4
"Aug 7, 2019",4
"Aug 8, 2019",2
"Aug 9, 2019",7
