# ----------------------------------------
# PROD: Actions on Google (Console Only)
# Ghana Trivia 
# Average conversation length 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Date,Conversation Length
"Jul 12, 2019",72
"Jul 16, 2019",119
"Jul 17, 2019",215.2
"Jul 18, 2019",247
"Jul 19, 2019",442
"Jul 22, 2019",262
"Jul 23, 2019",247
"Jul 25, 2019",211
"Jul 26, 2019",168.5
"Jul 27, 2019",247
"Aug 5, 2019",0
